feature,importance_gain,importance_split
Sales_roll14,18582466686152.0,24291
Promo,3847641481612.0,2976
Sales_roll28,1638456846222.0,25479
Promo_running,1513044096970.0,4857
Day,1142749803133.0,25889
DayOfWeek,713250224284.0,15003
Promo_Month,683838932061.0,5114
Week,547669110563.0,12715
Sales_roll7,500790005931.0,30723
CompetitionDistance,424198773956.0,35752
Store,304461432409.0,32010
DaysSinceStart,299259442452.0996,21099
Sales_lag7,258257080308.0,31216
Sales_lag14,246367714850.0,30635
Sales_lag28,212874564356.0,31242
StoreType_code,191327613495.0,4481
Month,175847947158.0,4531
DayOfWeek_sin,172051609478.0,4875
CompetitionOpenSinceMonth,149932161552.0,15586
Promo2SinceWeek,142465277083.0,12649
CompetitionOpenSinceYear,131553713992.0,12625
Promo2SinceYear,99824132343.0,5891
DayOfWeek_cos,81449794422.0,5649
MonthsSinceCompOpen,78882280861.0,19339
Month_cos,73213803458.0,5227
StoreType_x_Month,71011017429.0,5988
SchoolHoliday,54101522328.0,2141
Assortment_c,52059263406.0,4064
WeeksSincePromo2Start,50214564562.0,10738
Month_sin,41724145619.0,3589
StoreType_b,38789991142.0,653
PromoInterval_Jan_Apr_Jul_Oct,28265317920.0,1819
Assortment_b,22722128401.0,361
StoreType_c,22386554494.0,1458
Year,21030355615.0,866
Promo_StoreType,17489312764.0,2259
log_CompetitionDistance,16385251258.0,2073
AnyHoliday,13467546836.0,904
PromoInterval_Mar_Jun_Sept_Dec,11450757485.0,1060
Promo2,8532360839.0,426
IsWeekend,6746603795.0,187
StateHoliday_a,3808409445.0,568
IsDecember,2143244408.0,14
StateHoliday_b,1909221314.0,642
StoreType_d,1519095732.0,52
Promo2Running,678816984.0,47
StateHoliday_c,0.0,0
HasCompetition,0.0,0
Open,0.0,0
PromoInterval_None,0.0,0
